%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -10013.715626444297, -10072.835990528583, -7413.805414891889, -718.608584238122, -2471.8123640790423, -3916.3162012477164, -1586.1915452708656, -1446.1131627694563, -10194.183611176446, -4957.147533553545, 1615.181757829399, 1218.6171077033412, 2205.021942260497, -2665.5572850176436, 1286.3428934029214, 2833.508292854821, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490186902452E9, 0.0, 2025-02-13 18:43:06.902
2.0, -20016.411842872127, -20130.98688495003, -14803.023910882941, -1405.477691349708, -4922.569384881185, -7802.323437014036, -3145.6057006842734, -2867.7064618714408, -20165.632088855757, -8767.650576549839, 3666.1331255594646, 2761.759193153285, 4202.30677155337, -4801.8699648225265, 2505.943477862296, 4639.73041054373, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490186908485E9, 0.0, 2025-02-13 18:43:06.908
4.0, -20029.554668611847, -20149.248260170014, -14819.608905268778, -1433.1715027298335, -4942.127161279579, -7833.50412052919, -3161.967177625558, -2886.3254650027116, -20152.109283460293, -8754.485399065661, 3672.9951111072437, 2766.408355999989, 4210.755730957476, -4791.230534461801, 2491.236030010704, 4639.864521010461, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.73949018691552E9, 0.0, 2025-02-13 18:43:06.915
6.0, -20016.165973683117, -20126.203611636593, -14806.466079529058, -1406.997609972669, -4921.9658877808915, -7806.011474849162, -3151.0595263313685, -2866.7229851154075, -20174.818655826886, -8773.30556789703, 3660.4557824678163, 2756.350070995101, 4198.0375883624065, -4810.85536609356, 2496.8239661245307, 4627.705172026775, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.73949018692454E9, 0.0, 2025-02-13 18:43:06.924
8.0, -20025.084319720783, -20143.928544989652, -14823.11812914826, -1436.2336917202106, -4941.948347323936, -7834.353486818492, -3172.718366708561, -2886.9960173363706, -20163.12869347676, -8765.840085248958, 3675.0961750860424, 2767.0789083336485, 4209.526385012435, -4801.467633422331, 2484.8210793520307, 4616.372837587934, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490186931653E9, 0.0, 2025-02-13 18:43:06.931
10.0, -20018.71407255102, -20131.009236694485, -14815.116204633261, -1411.6244210749176, -4924.044600015235, -7811.018265607151, -3166.8622096612708, -2870.5898369061756, -20176.405629683213, -8785.710786069725, 3656.0971922990316, 2750.7621348812745, 4191.779099914921, -4820.824244120628, 2487.257419497659, 4618.451549822277, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490186939733E9, 0.0, 2025-02-13 18:43:06.939
12.0, -20027.878287777698, -20146.78956827993, -14828.683713517632, -1434.0208690191353, -4941.4566089459195, -7832.721809473254, -3178.552172011396, -2885.6549126690525, -20163.329859176858, -8767.650576549839, 3680.9746838777883, 2772.3315682806456, 4211.873318180242, -4797.712540353839, 2504.915297617352, 4618.160977144358, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490186948655E9, 0.0, 2025-02-13 18:43:06.948
14.0, -20017.887058006174, -20129.958704705085, -14816.971399423051, -1414.4407408762863, -4924.424579670976, -7808.380759761425, -3165.9234363941478, -2871.2603892398347, -20173.23168197056, -8786.537800614573, 3647.089439283543, 2747.901111590995, 4190.616809203245, -4816.443302207387, 2487.0562537975616, 4611.880136952417, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.73949018695677E9, 0.0, 2025-02-13 18:43:06.956
16.0, -20021.373930141202, -20133.311466373383, -14826.359132094281, -1428.7011538387721, -4932.538262908252, -7817.902602899386, -3174.5288580094407, -2880.938694588983, -20147.437768869135, -8763.0684689365, 3676.213762308808, 2769.828172901651, 4216.589536260311, -4782.312188424134, 2478.808460093553, 4625.492349325699, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490186963762E9, 0.0, 2025-02-13 18:43:06.963
18.0, -20025.553706354345, -20135.27841988545, -14822.581687281334, -1419.9169182678365, -4931.018344285291, -7815.846242409497, -3169.589122484818, -2875.730738130896, -20169.007202268505, -8782.179210445787, 3649.6598898959032, 2748.6163674135646, 4194.662474949655, -4802.898145067471, 2501.294315015592, 4629.113331927459, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490186971794E9, 0.0, 2025-02-13 18:43:06.971
20.0, -20014.981331226987, -20132.752672762, -14816.256143600482, -1421.8838717799035, -4929.207852984411, -7813.141681330405, -3161.140163080712, -2878.055319554248, -20155.79732129542, -8750.283271108065, 3693.5587160061264, 2780.8475829181175, 4219.092931639306, -4787.318979182122, 2524.5177775046564, 4628.129855171425, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490186980865E9, 0.0, 2025-02-13 18:43:06.980
22.0, -20020.59161908527, -20134.18318440714, -14818.31250409037, -1417.8829095224035, -4924.02224827078, -7809.699512684288, -3162.4589160035753, -2875.8648485976278, -20167.95667027911, -8771.87505625189, 3653.638500408948, 2745.73299237883, 4190.929733625619, -4808.977819559314, 2503.261268527659, 4615.858747465461, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490186987892E9, 0.0, 2025-02-13 18:43:06.987
24.0, -20020.256342918437, -20132.37269310626, -14818.468966301558, -1419.0675519785348, -4923.016419770292, -7808.581925461523, -3163.9564828820808, -2874.9484270749604, -20151.28226891545, -8756.519407811094, 3686.607323480526, 2777.2042485719026, 4220.054056650884, -4783.921514024915, 2506.837547640508, 4650.101619970992, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490186995944E9, 0.0, 2025-02-13 18:43:06.995
26.0, -20019.876363262698, -20135.926620474653, -14819.363036079769, -1421.6827060798057, -4926.8385680721485, -7817.321457543548, -3167.2868928059215, -2878.703520143452, -20171.018859269483, -8785.97900700319, 3645.591872405037, 2743.810742355674, 4189.365111513747, -4810.09540678208, 2485.938666574796, 4625.402942347878, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490187003978E9, 0.0, 2025-02-13 18:43:07.003
28.0, -20013.863744004222, -20133.155004162196, -14812.12107087625, -1414.127816453912, -4923.329344192665, -7810.705341184776, -3161.676604947639, -2872.3556247181446, -20158.61364109679, -8766.242416649153, 3677.2866460426626, 2771.638664202531, 4211.0686553798505, -4797.37726418701, 2487.2797712421147, 4630.007401705671, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490187011971E9, 0.0, 2025-02-13 18:43:07.011
30.0, -20029.95700001204, -20140.396969365713, -14833.422283342157, -1436.8148370760487, -4934.8181408426935, -7822.864690168463, -3182.8660586912706, -2884.0008835793597, -20171.287080202947, -8792.058681495033, 3637.0311542786544, 2743.5872249111208, 4192.069672592839, -4813.224651005823, 2467.699643099266, 4635.260061652668, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.73949018701901E9, 0.0, 2025-02-13 18:43:07.019
32.0, -20023.542049353367, -20133.758501262488, -14823.073425659351, -1425.0801712370123, -4926.011553527303, -7808.581925461523, -3169.72323295155, -2871.1039270286474, -20158.926565519163, -8768.857570750424, 3678.9183233879003, 2774.4996874928106, 4211.493338524501, -4800.99824678877, 2503.7083034167654, 4617.065741666048, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490187028086E9, 0.0, 2025-02-13 18:43:07.028
34.0, -20038.987104771986, -20147.92950724715, -14841.468911346068, -1444.5261889131295, -4941.88129209057, -7832.07360888405, -3190.331541339343, -2885.789023135784, -20168.671926101677, -8788.392995404363, 3649.6822416403584, 2753.3996407270006, 4196.383559272714, -4808.597839903574, 2496.01930332414, 4633.807198263073, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490187036084E9, 0.0, 2025-02-13 18:43:07.036
36.0, -20010.66744454711, -20114.4465940531, -14814.937390677618, -1410.3056681520545, -4916.35559992261, -7800.44589047979, -3168.851514917793, -2865.1807147479913, -20157.89838527422, -8774.669024308805, 3676.571390220093, 2773.762079925785, 4213.840271692308, -4797.533726398197, 2504.267097028148, 4631.974355217738, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490187044164E9, 0.0, 2025-02-13 18:43:07.044
38.0, -20021.01630222992, -20135.479585585545, -14824.258068115481, -1427.9858980162023, -4928.73846635085, -7819.511928500167, -3173.5230295089523, -2881.7433573893736, -20158.099550974315, -8785.330806413986, 3647.759991617202, 2747.074097046149, 4197.054111606373, -4805.848575335572, 2471.67825361231, 4624.195948147291, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490187052134E9, 0.0, 2025-02-13 18:43:07.052
40.0, -20011.91914223661, -20127.58941979282, -14807.829535940831, -1402.3260953815097, -4915.662695844495, -7797.696625911788, -3150.277215275433, -2862.18558099098, -20147.19189968013, -8764.096649181443, 3673.7327186742687, 2765.447230988411, 4205.324257054836, -4793.800985074161, 2498.2097742807596, 4625.671163281341, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.73949018705917E9, 0.0, 2025-02-13 18:43:07.059
42.0, -20022.87149701971, -20143.392103122726, -14824.503937304491, -1426.8683107934369, -4939.4002484560315, -7830.173710605349, -3168.9856253845246, -2883.6432556680747, -20159.75358006401, -8770.533951584572, 3660.7687068901905, 2753.1984750269025, 4194.193088316094, -4807.100273025068, 2498.1650707918493, 4624.732390014218, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490187068263E9, 0.0, 2025-02-13 18:43:07.068
44.0, -20007.851124745743, -20122.672036012656, -14808.097756874295, -1400.0238657026132, -4918.456663901408, -7799.440061979301, -3153.6299769437287, -2862.252636224346, -20156.98196375155, -8764.45427709273, 3671.8328203955675, 2759.2110942853806, 4192.472003993035, -4808.933116070404, 2498.5003469586786, 4605.2863723381015, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490187076268E9, 0.0, 2025-02-13 18:43:07.076
