Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -1837.1122285261429, 2760.865123375073, -5234.644440966183, -3390.0220263030565, 1078.7398909020294, 64.73065194256925, 13998.29405525852, 7068.068631657199, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742509191551726E9, 0.0, 2025-03-20 18:19:51.551
40.0, -1837.6263186486149, 2757.9146931069727, -5236.700801456071, -3391.9889798151235, 1078.0022833350042, 62.76369843050223, 13995.969473835168, 7067.867465957102, 7645.235376982138, 13105.319512524547, 11151.709991897344, 13170.98893773424, 14558.607585264157, 13410.107899917115, 15156.71791514372, 187500.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742509191551992E9, 0.0, 2025-03-20 18:19:51.551
0.0, -934.5711391652989, 1373.6711589898061, -2615.578784415577, -1716.077532300655, 536.2407012272718, 29.59370965882655, 6989.368139430063, 3519.9080133328457, 3822.66239197998, 6552.056259161981, 5579.174230000285, 6590.59066660293, 7281.013701082909, 6707.4008831263645, 7581.152925628773, 93749.98882412778, 0.016, 0.036000000000000004, 0.982, 192.0, 0.0, 64.0, 0.5, 16.0, 15.0, 88.0, 0.0, 0.0, 0.0, 1.742509191627149E9, 0.0, 2025-03-20 18:19:51.627
2.0, -1875.1101941001648, 2755.2995390057017, -5230.4870164974955, -3435.1725501027763, 1083.076129326359, 61.80257341892403, 13969.795581078004, 7044.10756160111, 7646.598833393912, 13107.01824510315, 11153.744000642777, 13184.623501851976, 14578.880617485122, 13425.620010569099, 15134.790853833063, 187500.0, 0.016, 0.036000000000000004, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742509191633247E9, 0.0, 2025-03-20 18:19:51.633
4.0, -1868.0023393633771, 2755.835980872629, -5229.414132763641, -3415.8159394044806, 1097.1577283332024, 75.57124800339318, 13966.778095576537, 7039.547805732228, 7643.111961258885, 13103.01728284565, 11170.239588050794, 13149.46420782378, 14563.815541722244, 13401.256609112814, 15127.303019440535, 187500.0, 0.016, 0.036000000000000004, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742509191640278E9, 0.0, 2025-03-20 18:19:51.640
6.0, -1870.841010909201, 2753.3996407270006, -5231.850472909269, -3425.717762198182, 1088.2840857844456, 67.18934383265304, 13970.577892133939, 7047.952061647423, 7647.090571771929, 13109.052253848584, 11163.06467808064, 13146.491425811224, 14549.868053182132, 13397.926199188973, 15113.780214045075, 187500.0, 0.016, 0.036000000000000004, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742509191648332E9, 0.0, 2025-03-20 18:19:51.648
8.0, -1871.8915428986006, 2747.6552424019865, -5234.46562701054, -3435.1725501027763, 1074.2471902665127, 56.28169253846318, 13972.120162501356, 7051.193064593443, 7651.18094100725, 13100.580942700022, 11161.58946294659, 13153.643984036922, 14561.133332387608, 13395.579266021165, 15123.32440892749, 187500.0, 0.02, 0.034, 0.986, 192.0, 0.0, 80.0, 0.5, 8.0, 15.0, 104.0, 0.0, 0.0, 0.0, 1.742509191656282E9, 0.0, 2025-03-20 18:19:51.656
10.0, -1874.327883044229, 2748.6163674135646, -5232.029286864911, -3437.2959658260306, 1079.2539810245016, 59.74621292903578, 13968.499179899596, 7050.857788426613, 7649.012821795085, 13099.552762455078, 11158.951957100864, 13146.044390922118, 14545.956497902454, 13393.075870642171, 15119.725778070186, 187500.0, 0.02, 0.034, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742509191665344E9, 0.0, 2025-03-20 18:19:51.665
12.0, -1873.7914411773017, 2755.7465738948076, -5230.911699642146, -3429.316393055486, 1089.044045095926, 68.01635837749939, 13969.169732233255, 7057.5409600187495, 7647.716420616677, 13103.911352623863, 11154.30279425416, 13140.948193186307, 14551.969117160932, 13398.149716633525, 15116.909458268818, 187500.0, 0.02, 0.034, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74250919167249E9, 0.0, 2025-03-20 18:19:51.672
14.0, -1866.9741591184331, 2758.6523006739976, -5230.308202541853, -3418.587555716939, 1096.107196343803, 74.54306775844906, 13973.371860190853, 7060.178465864476, 7649.169284006272, 13101.11738456695, 11168.786724661199, 13164.730449286753, 14575.527855816825, 13396.607446266109, 15136.154310244836, 187500.0, 0.02, 0.034, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742509191680421E9, 0.0, 2025-03-20 18:19:51.680
