Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
20.0, 131.6964783306692, 3684.886239157467, -4803.94867705687, -2869.0475665387594, 1639.0981243965775, 236.0120697035873, 15000.993311523594, 7993.9002387404735, 7768.706413353255, 14404.559362478181, 12026.959601278259, 13628.305629289822, 14967.130418673805, 13602.824640610772, 16683.11854399664, 187500.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742508872304341E9, 0.0, 2025-03-20 18:14:32.304
0.0, 68.15046884423123, 1842.946033828978, -2405.6735522357885, -1441.7098691117608, 738.9039682035409, 114.10565544434256, 7484.503982604026, 3982.4326613465146, 3882.609770609113, 7200.167441388064, 6010.80876717672, 6812.185861132844, 7484.124002948285, 6798.931276670847, 8340.285222564367, 93749.98882412778, 0.016, 0.036000000000000004, 0.982, 192.0, 0.0, 64.0, 0.5, 16.0, 15.0, 88.0, 0.0, 0.0, 0.0, 1.742508872419803E9, 0.0, 2025-03-20 18:14:32.419
2.0, 133.8869492872893, 3682.561657734115, -4813.828148106116, -2886.928962103005, 1470.8565438814812, 224.0315346755427, 14972.606596065354, 7962.2054651028475, 7760.615081860434, 14092.50665813764, 11738.689153038164, 13572.87330304066, 14833.645800786711, 13627.992704867447, 16649.38976161358, 187500.0, 0.016, 0.036000000000000004, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742508872426832E9, 0.0, 2025-03-20 18:14:32.426
4.0, 134.17752196520829, 3678.6277507099812, -4815.728046384817, -2893.1427470615804, 1468.8672386249589, 221.70695325219074, 14972.62894780981, 7958.04804063416, 7764.8619133069415, 14081.68841382127, 11734.375266358289, 13571.085163484237, 14833.69050427562, 13620.817794897295, 16639.66675277552, 187500.0, 0.016, 0.036000000000000004, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742508872433987E9, 0.0, 2025-03-20 18:14:32.433
6.0, 135.58568186589264, 3675.6102652085146, -4818.499662697275, -2895.1097005736474, 1466.9449886018026, 218.62241251735838, 14979.468581613135, 7955.656403977443, 7770.427497676314, 14080.436716131773, 11728.183833144169, 13570.593425106219, 14826.582649538834, 13621.93538212006, 16634.14587189506, 187500.0, 0.016, 0.036000000000000004, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742508872442914E9, 0.0, 2025-03-20 18:14:32.442
8.0, 138.44670515617196, 3677.10783208702, -4815.415121962443, -2889.186488292991, 1474.9022096278918, 226.82550273245607, 14977.166351934238, 7954.8070376881415, 7775.166067500838, 14083.87888477789, 11735.51520532551, 13575.644919353119, 14839.74782702301, 13632.17248108059, 16639.73380800889, 187500.0, 0.016, 0.032, 0.98, 192.0, 0.0, 64.0, 0.5, 0.0, 15.0, 80.0, 0.0, 0.0, 0.0, 1.742508872449939E9, 0.0, 2025-03-20 18:14:32.449
10.0, 138.15613247825294, 3676.6384454534586, -4813.515223683742, -2884.76084289084, 1478.2326195517326, 231.13938941233033, 14966.035183195494, 7951.454276019845, 7770.360442442948, 14083.744774311159, 11736.118702425803, 13573.253282696402, 14839.323143878359, 13630.518451990898, 16645.455854589447, 187500.0, 0.016, 0.032, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742508872457986E9, 0.0, 2025-03-20 18:14:32.457
12.0, 133.9093010317446, 3684.081576357076, -4810.922421326926, -2885.3643399911334, 1475.5280584726404, 231.0499824345091, 14948.153787631249, 7954.0470783766605, 7762.224407461215, 14086.292873179063, 11740.432589105678, 13563.127942458146, 14838.362018866781, 13626.115158333203, 16649.233299402393, 187500.0, 0.016, 0.032, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742508872465927E9, 0.0, 2025-03-20 18:14:32.465
14.0, 134.445742898672, 3688.171945592397, -4810.6765521379175, -2881.609246922642, 1484.312294043576, 236.79438075952302, 14944.555156773944, 7953.488284765278, 7757.083506236495, 14085.421155145306, 11737.772731515495, 13569.788762305829, 14836.395065354714, 13620.97425710848, 16645.701723778453, 187500.0, 0.016, 0.032, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742508872475039E9, 0.0, 2025-03-20 18:14:32.475
16.0, 136.3679929218284, 3690.0718438710983, -4810.117758526535, -2882.9727033344157, 1485.2287155662436, 236.81673250397833, 14944.733970729587, 7953.801209187653, 7755.1165527244275, 14094.294797694063, 11748.814493276417, 13561.630375579642, 14835.232774643038, 13624.058797843314, 16647.132235423593, 187500.0, 0.016, 0.032, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742508872482014E9, 0.0, 2025-03-20 18:14:32.482
