%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
228.0, -65235.1978701589, -94613.34730545848, -186663.03892887104, -186888.5680304251, -187309.5184337519, -64080.372641131005, -47591.87073610673, -164930.437794976, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428680777E9, 0.0, 2025-02-06 17:37:08.680
229.0, -65280.90718757, -94641.95753836127, -186574.7495382726, -187018.02933431024, -187400.6911993851, -64149.439531497905, -47744.57785422538, -165065.12940706365, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428680815E9, 0.0, 2025-02-06 17:37:08.680
230.0, -65319.84392641115, -94663.07993687152, -186632.7523151341, -187127.48582690785, -187488.91353475017, -64211.3538636391, -47891.2052978522, -165193.85310338179, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428680839E9, 0.0, 2025-02-06 17:37:08.680
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014, 0.064, 0.984, 192.0, 0.0, 112.0, 2.0, 0.0, 30.0, 192.0, 0.0, 0.0, 0.0, 1.738881428768483E9, 0.0, 2025-02-06 17:37:08.768
1.0, -108729.74797841883, -129180.70008524659, -183953.33694855418, -186399.55656523188, -184685.2448207432, -127529.8002397776, -153794.77635559754, -184781.53613585664, 0.014, 0.064, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.73888142878557E9, 0.0, 2025-02-06 17:37:08.785
2.0, -108814.0364067598, -129252.89621983722, -183894.08247400314, -186335.5858726008, -184933.68446036393, -127633.3782235835, -153994.10921265, -184718.9065478929, 0.014, 0.064, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.73888142878859E9, 0.0, 2025-02-06 17:37:08.788
3.0, -108905.81266949329, -129328.24395039606, -183851.81532523816, -186276.15258409412, -185265.40669982514, -127755.77637622076, -154197.37597672653, -184660.14381171987, 0.014, 0.064, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428791594E9, 0.0, 2025-02-06 17:37:08.791
4.0, -108996.73956593747, -129403.68108793272, -183934.2038553004, -186215.4452461535, -185258.36590032172, -127886.86935745113, -154401.22388615893, -184600.12937785737, 0.014, 0.064, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428796608E9, 0.0, 2025-02-06 17:37:08.796
5.0, -109095.93660783012, -129486.33783892845, -183930.24759653184, -186163.3433298282, -185210.6225741652, -128024.73491725147, -154614.1466038402, -184549.32386271047, 0.014, 0.064, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428799614E9, 0.0, 2025-02-06 17:37:08.799
6.0, -109195.11129797832, -129569.9333631913, -183875.3070086607, -186111.84491060316, -185163.68391080905, -128162.64518054071, -154827.2481354771, -184498.9430307082, 0.014, 0.064, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.73888142880365E9, 0.0, 2025-02-06 17:37:08.803
