%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 8273.565265365276, 2618.6633251504095, 616.5952225441006, 12619.929029933099, 10353.462142164963, 10548.65992649316, 13774.620148494263, 13520.793738459795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764097394E9, 0.0, 2025-04-17 18:09:24.097
200.0, 8280.427250913055, 2627.492264210256, 622.2055104023827, 12630.188480638086, 10364.235682992421, 10558.89702545369, 13778.576407262852, 13527.745130985395, 13082.476029691225, 17345.445435696296, 15326.904097426428, 13147.385495589435, 15342.483263311777, 18890.800343847317, 14314.750053256757, 187500.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764098645E9, 0.0, 2025-04-17 18:09:24.098
0.0, 4078.031072381863, 1324.4302659547648, 254.116982712386, 6302.610791040754, 5243.763952703947, 5257.934958688612, 6926.850310188569, 6764.3978314873975, 6540.098075878392, 8667.961796279169, 7664.815505124987, 6569.602378559396, 7666.961272592697, 9441.600375366257, 7155.531007710816, 93749.98882412778, 0.017, 0.016, 0.492, 192.0, 0.5, 8.0, 0.5, 0.0, 15.0, 96.0, 0.0, 0.0, 0.0, 1.744927764179197E9, 0.0, 2025-04-17 18:09:24.179
2.0, 8162.007708788838, 2646.2677295527137, 510.5808985925792, 12610.988332150977, 10488.220809486009, 10517.054559833356, 13858.774466368493, 13528.996828674894, 12919.576516100946, 17768.049868112786, 14802.152192849184, 13193.698310100832, 15257.747800081706, 18641.757207126288, 14451.565081067693, 187500.0, 0.017, 0.016, 0.492, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764188252E9, 0.0, 2025-04-17 18:09:24.188
4.0, 8166.098078024159, 2645.3289562855907, 515.3641719060149, 12617.78326246539, 10491.327701965298, 10523.1342343252, 13858.997983813046, 13531.187299631512, 12925.03034174804, 17775.269481571853, 14816.189088367117, 13199.576818892578, 15268.767210098173, 18644.88645135003, 14458.807046271211, 187500.0, 0.017, 0.016, 0.492, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764195309E9, 0.0, 2025-04-17 18:09:24.195
6.0, 8159.5490168987535, 2641.327994028091, 508.5692415916016, 12612.105919373742, 10483.50459140594, 10517.211022044543, 13854.25941398852, 13530.673209509041, 12921.387007401825, 17772.341403048205, 14799.581742236824, 13189.250312954226, 15255.937308780827, 18637.5997826576, 14450.7604182673, 187500.0, 0.017, 0.016, 0.492, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764203312E9, 0.0, 2025-04-17 18:09:24.203
8.0, 8166.925092569005, 2646.0442121081605, 515.5429858616574, 12621.940686934076, 10490.344225209265, 10525.414112259641, 13858.014507057012, 13532.841328721206, 12928.51721388307, 17774.487170515917, 14801.995730637997, 13193.698310100832, 15266.59909088601, 18636.97393381285, 14460.125799194075, 187500.0, 0.034, 0.03, 0.99, 192.0, 0.5, 8.0, 0.0, 120.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.74492776421136E9, 0.0, 2025-04-17 18:09:24.211
10.0, 8160.331327954689, 2639.8304271495854, 507.9210410023977, 12619.213774110529, 10489.114879264222, 10523.737731425492, 13852.337163965365, 13525.331142584222, 12923.331609169438, 17769.36862103565, 14801.772213193442, 13187.529228631167, 15255.914957036372, 18634.35877971158, 14448.167615910485, 187500.0, 0.034, 0.03, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764220428E9, 0.0, 2025-04-17 18:09:24.220
12.0, 8172.088345538181, 2654.2473023232583, 520.4156661529144, 12632.334248105795, 10505.901039350158, 10536.165301342644, 13859.847350102347, 13528.706255996975, 12924.672713836755, 17782.287929330818, 14829.801300740399, 13200.247371226236, 15273.774000856163, 18645.378189728046, 14468.753572553824, 187500.0, 0.034, 0.03, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764228469E9, 0.0, 2025-04-17 18:09:24.228
14.0, 8162.90177856705, 2649.0840493540823, 513.5760323495904, 12618.654980499146, 10499.106109035743, 10530.934993140101, 13852.65008838774, 13518.804433203273, 12916.737844555122, 17769.100400102187, 14823.967495437562, 13192.737185089254, 15263.156922239892, 18646.02639031725, 14454.090828191142, 187500.0, 0.034, 0.03, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764236504E9, 0.0, 2025-04-17 18:09:24.236
16.0, 8172.982415316394, 2659.4999622702558, 521.8014743091434, 12625.762835235935, 10509.611428929738, 10537.484054265506, 13858.796818112949, 13525.688770495508, 12916.626085832846, 17774.889501916114, 14817.26197210097, 13191.351376933024, 15265.25798621869, 18648.239213018325, 14456.080133447664, 187500.0, 0.034, 0.03, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764243528E9, 0.0, 2025-04-17 18:09:24.243
18.0, 8162.678261122497, 2649.106401098538, 511.4526166263362, 12611.413015295628, 10495.283960733886, 10523.961248870046, 13852.895957576748, 13522.648933249586, 12913.966228242663, 17764.69710644449, 14810.824669697842, 13185.495219885734, 15263.380439684444, 18639.231460002837, 14454.023772957777, 187500.0, 0.03, 0.028, 0.988, 192.0, 0.0, 120.0, 0.0, 112.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.744927764251554E9, 0.0, 2025-04-17 18:09:24.251
20.0, 8170.724889126407, 2665.378471062001, 521.4885498867691, 12620.532527033392, 10510.617257430227, 10532.36550478524, 13856.874568089792, 13532.461349065465, 12917.274286422049, 17769.949766391488, 14815.563239522367, 13191.329025188568, 15260.988803027727, 18642.695980393408, 14455.00724971381, 187500.0, 0.03, 0.028, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764259555E9, 0.0, 2025-04-17 18:09:24.259
22.0, 8158.1408569980695, 2652.5709214891103, 510.29032591466023, 12612.35178856275, 10500.022530558412, 10526.308182037852, 13849.945527308648, 13525.442901306498, 12916.357864899383, 17760.60673720917, 14819.273629101948, 13184.064708240594, 15264.810951329584, 18632.660047132977, 14459.589357327148, 187500.0, 0.03, 0.028, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764267652E9, 0.0, 2025-04-17 18:09:24.267
24.0, 8166.768630357818, 2660.0811076260934, 519.4098376524255, 12621.136024133686, 10508.180917284599, 10531.426731518119, 13859.690887891162, 13533.4448258215, 12918.637742833824, 17765.814693667257, 14810.869373186753, 13191.597246122034, 15265.950890296805, 18636.25867799028, 14460.125799194075, 187500.0, 0.03, 0.028, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74492776427565E9, 0.0, 2025-04-17 18:09:24.275
26.0, 8155.928034296994, 2645.9771568747947, 509.01627648070775, 12610.071910628309, 10493.674635133104, 10521.614315702238, 13851.107818020322, 13524.325314083733, 12920.492937623614, 17763.60187096618, 14813.104547632283, 13192.983054278262, 15267.940195553327, 18637.84565184661, 14460.95281373892, 187500.0, 0.03, 0.028, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744927764283686E9, 0.0, 2025-04-17 18:09:24.283
